date,home team,away team,home score,tournament,city,country,neutral
1901-03-09,England,Northern Ireland,3,0,British Championship,Southampton,England
1901-03-18,England,Wales,6,0,British Championship,Newcastle,England
1901-03-30,England,Scotland,2,2,British Championship,London,England
1902-05-03,England,Scotland,2,2,British Championship,Birmingham,England
1903-02-14,England,Northern Ireland,4,0,British Championship,Wolverhampton,England
1903-03-02,England,Wales,2,1,British Championship,Portsmouth,England
1903-04-04,England,Scotland,1,2,British Championship,Sheffield,England
1905-02-25,England,Northern Ireland,1,1,British Championship,Middlesbrough,England
1905-03-27,England,Wales,3,1,British Championship,Liverpool,England
1905-04-01,England,Scotland,1,0,British Championship,London,England
1907-02-16,England,Northern Ireland,1,0,British Championship,Liverpool,England
1907-03-18,England,Wales,1,1,British Championship,London,England
1907-04-06,England,Scotland,1,1,British Championship,Newcastle,England
1909-02-13,England,Northern Ireland,4,0,British Championship,Bradford,England
1909-03-15,England,Wales,2,0,British Championship,Nottingham,England
1909-04-03,England,Scotland,2,0,British Championship,London,England
